checkpoint,build_id,part_id,mark,label,blank_mm,operations,cut_label,material
800faf7e5fd57e4705780339249e87a57d5d649c,build_515939c28fd64020810b3b75d4e168b5,shed.roof.blocking.back.ridge.at_1219_2,P-FF304BC0,Blocking Back Ridge At_1219_2,"[368.4000000000001, 38, 140]","[{'high_height_mm': 108.0, 'kind': 'beveled_edge', 'low_height_mm': 89, 'slope': 0.5}]",C30,lumber.38x140
800faf7e5fd57e4705780339249e87a57d5d649c,build_515939c28fd64020810b3b75d4e168b5,shed.roof.blocking.front.eave.at_1625_6,P-91628000,Blocking Front Eave At_1625_6,"[368.4000000000001, 38, 140]","[{'high_height_mm': 108.0, 'kind': 'beveled_edge', 'low_height_mm': 89, 'slope': 0.5}, {'description': 'Cut the underside housing to clear the adjacent rafter tie.', 'kind': 'housing', 'origin_mm': [0, 0, 0], 'size_mm': [38, 38, 65.9752415750147]}]",C29,lumber.38x140
800faf7e5fd57e4705780339249e87a57d5d649c,build_515939c28fd64020810b3b75d4e168b5,shed.roof.blocking.front.ridge.at_1625_6,P-7DB31FE4,Blocking Front Ridge At_1625_6,"[368.4000000000001, 38, 140]","[{'high_height_mm': 108.0, 'kind': 'beveled_edge', 'low_height_mm': 89, 'slope': 0.5}]",C30,lumber.38x140
800faf7e5fd57e4705780339249e87a57d5d649c,build_515939c28fd64020810b3b75d4e168b5,shed.roof.blocking.back.eave.at_1625_6,P-F01A12E2,Blocking Back Eave At_1625_6,"[368.4000000000001, 38, 140]","[{'high_height_mm': 108.0, 'kind': 'beveled_edge', 'low_height_mm': 89, 'slope': 0.5}, {'description': 'Cut the underside housing to clear the adjacent rafter tie.', 'kind': 'housing', 'origin_mm': [330.4000000000001, 0, 0], 'size_mm': [38, 38, 65.9752415750147]}]",C31,lumber.38x140
800faf7e5fd57e4705780339249e87a57d5d649c,build_515939c28fd64020810b3b75d4e168b5,shed.roof.blocking.back.ridge.at_1625_6,P-1DA2079A,Blocking Back Ridge At_1625_6,"[368.4000000000001, 38, 140]","[{'high_height_mm': 108.0, 'kind': 'beveled_edge', 'low_height_mm': 89, 'slope': 0.5}]",C30,lumber.38x140
800faf7e5fd57e4705780339249e87a57d5d649c,build_515939c28fd64020810b3b75d4e168b5,shed.roof.blocking.front.eave.at_2032,P-B2129F41,Blocking Front Eave At_2032,"[368.39999999999964, 38, 140]","[{'high_height_mm': 108.0, 'kind': 'beveled_edge', 'low_height_mm': 89, 'slope': 0.5}, {'description': 'Cut the underside housing to clear the adjacent rafter tie.', 'kind': 'housing', 'origin_mm': [0, 0, 0], 'size_mm': [38, 38, 65.9752415750147]}]",C29,lumber.38x140
800faf7e5fd57e4705780339249e87a57d5d649c,build_515939c28fd64020810b3b75d4e168b5,shed.roof.blocking.front.ridge.at_2032,P-782A5351,Blocking Front Ridge At_2032,"[368.39999999999964, 38, 140]","[{'high_height_mm': 108.0, 'kind': 'beveled_edge', 'low_height_mm': 89, 'slope': 0.5}]",C30,lumber.38x140
800faf7e5fd57e4705780339249e87a57d5d649c,build_515939c28fd64020810b3b75d4e168b5,shed.roof.blocking.back.eave.at_2032,P-17106923,Blocking Back Eave At_2032,"[368.39999999999964, 38, 140]","[{'high_height_mm': 108.0, 'kind': 'beveled_edge', 'low_height_mm': 89, 'slope': 0.5}, {'description': 'Cut the underside housing to clear the adjacent rafter tie.', 'kind': 'housing', 'origin_mm': [330.39999999999964, 0, 0], 'size_mm': [38, 38, 65.9752415750147]}]",C31,lumber.38x140
800faf7e5fd57e4705780339249e87a57d5d649c,build_515939c28fd64020810b3b75d4e168b5,shed.roof.blocking.back.ridge.at_2032,P-548A21B0,Blocking Back Ridge At_2032,"[368.39999999999964, 38, 140]","[{'high_height_mm': 108.0, 'kind': 'beveled_edge', 'low_height_mm': 89, 'slope': 0.5}]",C30,lumber.38x140
800faf7e5fd57e4705780339249e87a57d5d649c,build_515939c28fd64020810b3b75d4e168b5,shed.roof.blocking.front.eave.at_2438_4,P-CDA07B7B,Blocking Front Eave At_2438_4,"[368.4000000000001, 38, 140]","[{'high_height_mm': 108.0, 'kind': 'beveled_edge', 'low_height_mm': 89, 'slope': 0.5}, {'description': 'Cut the underside housing to clear the adjacent rafter tie.', 'kind': 'housing', 'origin_mm': [0, 0, 0], 'size_mm': [38, 38, 65.9752415750147]}]",C29,lumber.38x140
800faf7e5fd57e4705780339249e87a57d5d649c,build_515939c28fd64020810b3b75d4e168b5,shed.roof.blocking.front.ridge.at_2438_4,P-47AD00B4,Blocking Front Ridge At_2438_4,"[368.4000000000001, 38, 140]","[{'high_height_mm': 108.0, 'kind': 'beveled_edge', 'low_height_mm': 89, 'slope': 0.5}]",C30,lumber.38x140
